feature_id,date,water_median,wet_median,pv_median,npv_median,bs_median,count
r1wjpxg6j,1995-08-01,0.8052,0.0365,0.0543,0.0643,0.0309,31
r1wjpxg6j,1995-09-01,0.8999,0.0097,0.0369,0.0356,0.0171,30
r1wjpxg6j,1995-10-01,0.9083,0.0075,0.0268,0.0402,0.0162,31
r1wjpxg6j,1995-11-01,0.9108,0.0064,0.0186,0.0468,0.0166,30
r1wjpxg6j,1995-12-01,0.8928,0.0074,0.0164,0.0632,0.0194,31
r1wjpxg6j,1996-01-01,0.8765,0.0077,0.0199,0.0745,0.0208,31
r1wjpxg6j,1996-02-01,0.86,0.0078,0.0207,0.0849,0.025,29
r1wjpxg6j,1996-03-01,0.8555,0.0094,0.021,0.0903,0.0227,31
r1wjpxg6j,1996-04-01,0.8689,0.0147,0.0206,0.0717,0.0222,30
r1wjpxg6j,1996-05-01,0.8738,0.0193,0.0215,0.0648,0.0194,31
r1wjpxg6j,1996-06-01,0.8697,0.0262,0.0231,0.0608,0.0187,30
r1wjpxg6j,1996-07-01,0.8756,0.0226,0.0306,0.0519,0.0178,31
r1wjpxg6j,1996-08-01,0.8822,0.0196,0.0287,0.0509,0.0174,31
r1wjpxg6j,1996-09-01,0.8886,0.0168,0.0251,0.0512,0.0171,30
r1wjpxg6j,1996-10-01,0.895,0.0141,0.0216,0.0515,0.0168,31
r1wjpxg6j,1996-11-01,0.9006,0.0118,0.018,0.0518,0.0165,30
r1wjpxg6j,1996-12-01,0.8587,0.0447,0.0161,0.063,0.0165,31
r1wjpxg6j,1997-01-01,0.8491,0.0394,0.0175,0.0759,0.0189,31
r1wjpxg6j,1997-02-01,0.837,0.0358,0.0203,0.0877,0.0258,28
r1wjpxg6j,1997-03-01,0.7337,0.0638,0.022,0.1361,0.0431,31
r1wjpxg6j,1997-04-01,0.8544,0.0108,0.0186,0.0958,0.0187,30
r1wjpxg6j,1997-05-01,0.8568,0.017,0.0257,0.0844,0.0148,31
r1wjpxg6j,1997-06-01,0.8608,0.0206,0.0307,0.0754,0.0113,30
r1wjpxg6j,1997-07-01,0.8647,0.0175,0.03,0.0733,0.013,31
r1wjpxg6j,1997-08-01,0.8726,0.0174,0.0322,0.0666,0.0098,31
r1wjpxg6j,1997-09-01,0.8644,0.0147,0.0354,0.0727,0.0118,30
r1wjpxg6j,1997-10-01,0.8485,0.0079,0.0266,0.0961,0.0197,31
r1wjpxg6j,1997-11-01,0.84,0.0232,0.0223,0.0912,0.0219,30
r1wjpxg6j,1997-12-01,0.8356,0.0515,0.0205,0.0703,0.0209,31
r1wjpxg6j,1998-01-01,0.8236,0.0691,0.0195,0.0677,0.0201,31
r1wjpxg6j,1998-02-01,0.8466,0.0121,0.0194,0.0922,0.0216,28
r1wjpxg6j,1998-03-01,0.8543,0.0073,0.0161,0.0957,0.0266,31
r1wjpxg6j,1998-04-01,0.8546,0.0079,0.0206,0.0951,0.0206,30
r1wjpxg6j,1998-05-01,0.8535,0.0168,0.0324,0.0842,0.0118,31
r1wjpxg6j,1998-06-01,0.8484,0.0234,0.038,0.0763,0.0127,30
r1wjpxg6j,1998-07-01,0.8489,0.0216,0.038,0.0756,0.0146,31
r1wjpxg6j,1998-08-01,0.8495,0.0175,0.0383,0.0786,0.0148,31
r1wjpxg6j,1998-09-01,0.8425,0.0114,0.0345,0.0875,0.0228,30
r1wjpxg6j,1998-10-01,0.8285,0.0073,0.0321,0.1047,0.0262,31
r1wjpxg6j,1998-11-01,0.828,0.0077,0.0277,0.11,0.0252,30
r1wjpxg6j,1998-12-01,0.7876,0.0037,0.0249,0.1495,0.0328,31
r1wjpxg6j,1999-01-01,0.6836,0.0113,0.026,0.2276,0.0487,31
r1wjpxg6j,1999-02-01,0.5433,0.0377,0.0285,0.3294,0.058,28
r1wjpxg6j,1999-03-01,0.4149,0.0771,0.0328,0.4246,0.048,31
r1wjpxg6j,1999-04-01,0.2821,0.1179,0.0372,0.523,0.0376,30
r1wjpxg6j,1999-05-01,0.1538,0.156,0.0417,0.6182,0.0272,31
r1wjpxg6j,1999-06-01,0.336,0.0831,0.055,0.5019,0.0228,30
r1wjpxg6j,1999-07-01,0.5049,0.0723,0.0805,0.3276,0.0151,31
r1wjpxg6j,1999-08-01,0.4215,0.0455,0.0795,0.4286,0.023,31
r1wjpxg6j,1999-09-01,0.2624,0.0327,0.0682,0.5453,0.0863,30
r1wjpxg6j,1999-10-01,0.1033,0.0199,0.057,0.662,0.1496,31
r1wjpxg6j,1999-11-01,0.0111,0.0183,0.0494,0.7149,0.1968,30
r1wjpxg6j,1999-12-01,0.0041,0.0249,0.0536,0.6916,0.2165,31
r1wjpxg6j,2000-01-01,0.0007,0.0056,0.0741,0.6641,0.239,31
r1wjpxg6j,2000-02-01,0.0015,0.0065,0.055,0.6299,0.2969,29
r1wjpxg6j,2000-03-01,0.0017,0.0147,0.0469,0.6458,0.2814,31
r1wjpxg6j,2000-04-01,0.0011,0.031,0.0591,0.72,0.1805,30
r1wjpxg6j,2000-05-01,0.009,0.1129,0.0706,0.7156,0.0857,31
r1wjpxg6j,2000-06-01,0.0003,0.0811,0.0811,0.7682,0.0644,30
r1wjpxg6j,2000-07-01,0.0004,0.0317,0.0899,0.7854,0.0854,31
r1wjpxg6j,2000-08-01,0.0148,0.0793,0.0863,0.7508,0.0632,31
r1wjpxg6j,2000-09-01,0.0663,0.1353,0.0776,0.6749,0.0388,30
r1wjpxg6j,2000-10-01,0.2649,0.0982,0.065,0.5068,0.0613,31
r1wjpxg6j,2000-11-01,0.4635,0.0548,0.0523,0.3386,0.0869,30
r1wjpxg6j,2000-12-01,0.6612,0.0226,0.0398,0.1736,0.1008,31
r1wjpxg6j,2001-01-01,0.8076,0.0195,0.026,0.102,0.0431,31
r1wjpxg6j,2001-02-01,0.8821,0.0098,0.018,0.0595,0.0287,28
r1wjpxg6j,2001-03-01,0.8701,0.0119,0.021,0.068,0.0277,31
r1wjpxg6j,2001-04-01,0.8577,0.014,0.0245,0.0725,0.0296,30
r1wjpxg6j,2001-05-01,0.8246,0.0228,0.0273,0.0753,0.0484,31
r1wjpxg6j,2001-06-01,0.7115,0.0537,0.0275,0.0888,0.1169,30
r1wjpxg6j,2001-07-01,0.6887,0.0564,0.0269,0.1007,0.1256,31
r1wjpxg6j,2001-08-01,0.707,0.0461,0.0259,0.1121,0.1071,31
r1wjpxg6j,2001-09-01,0.7251,0.0361,0.0249,0.1232,0.0889,30
r1wjpxg6j,2001-10-01,0.7431,0.026,0.024,0.1344,0.0706,31
r1wjpxg6j,2001-11-01,0.7612,0.0159,0.023,0.1455,0.0524,30
r1wjpxg6j,2001-12-01,0.7727,0.0058,0.022,0.1567,0.0378,31
r1wjpxg6j,2002-01-01,0.703,0.006,0.0219,0.2154,0.0475,31
r1wjpxg6j,2002-02-01,0.5753,0.0195,0.0258,0.3408,0.0387,28
